FECHA,NOMBRE DE EMPRESAS,DEPARTAMENTO,Ciudad,Localidad,SECTOR,Horas/Reinversión,ID_Cliente,Puestos Medidos,Puesto 1,Puesto 2,Puesto 3,Puesto 4,Puesto 5,Puesto 6,Puesto 7,Puesto 8,Puesto 9,Puesto 10,Puesto 11,Puesto 12,Puesto 13,Puesto 14,Puesto 15,Puesto 16,Puesto 17,Puesto 18,Puesto 19,Puesto 20,Puesto 21,Puesto 22,Puesto 23,Puesto 24,Puesto 25,Puesto 26,Puesto 27,Puesto 28,Puesto 29,Puesto 30,Puesto 31,Puesto 32,Puesto 33,Puesto 34,Puesto 35,Puesto 36,Puesto 37,Puesto 38,Puesto 39,Puesto 40,Puesto 41,Puesto 42,Puesto 43,Puesto 44,Puesto 45,Puesto 46,Puesto 47,Puesto 48,Puesto 49,Puesto 50,Puesto 51,Puesto 52,Puesto 53,Puesto 54,Puesto 55,Puesto 56,Puesto 57,Puesto 58,Puesto 59,Puesto 60,Puesto 61,Puesto 62,Puesto 63,Puesto 64,Puesto 65,Puesto 66,Puesto 67,Puesto 68,Puesto 69,Puesto 70,Puesto 71,Puesto 72,Puesto 73,Puesto 74,Puesto 75,Puesto 76,Puesto 77,Puesto 78,Puesto 79,Puesto 80,Puesto 81,Puesto 82,Puesto 83,Puesto 84,Puesto 85,Puesto 86,Puesto 87,Puesto 88,Puesto 89,Puesto 90,Puesto 91,Puesto 92,Puesto 93,Puesto 94,Puesto 95,Puesto 96,Puesto 97,Puesto 98,Puesto 99,Puesto 100,Puesto 101,Puesto 102,Puesto 103,Puesto 104,Puesto 105,Puesto 106,Puesto 107,Puesto 108,Puesto 109,Puesto 110,Puesto 111,Puesto 112,Puesto 113,Puesto 114,Puesto 115,Puesto 116,Puesto 117,Puesto 118,Puesto 119,Puesto 120,Puesto 121,Puesto 122,Puesto 123,Puesto 124,Puesto 125,Puesto 126,Puesto 127,Puesto 128,Puesto 129,Puesto 130,Puesto 131,Puesto 132,Puesto 133,Puesto 134,Puesto 135,Puesto 136,Puesto 137,Puesto 138,Puesto 139,Puesto 140,Puesto 141,Puesto 142,Puesto 143,Puesto 144,Puesto 145,Puesto 146,Puesto 147,Puesto 148,Puesto 149,Puesto 150,Puesto 151,Puesto 152,Puesto 153,Puesto 154,Puesto 155,Puesto 156,Puesto 157,Puesto 158,Puesto 159,Puesto 160,Puesto 161,Puesto 162,Puesto 163,Puesto 164,Puesto 165,Puesto 166,Puesto 167,Puesto 168,Puesto 169,Puesto 170,Puesto 171,Puesto 172,Puesto 173,Puesto 174,Puesto 175,Puesto 176,Puesto 177,Puesto 178,Puesto 179,Puesto 180,Puesto 181,Puesto 182,Puesto 183,Puesto 184,Puesto 185,Puesto 186,Puesto 187
9/20/2023,2 35 DIGITAL S A S,Cundinamarca,Bogotá,Sumapaz,TIC,6,Cliente 1,9,,,,,135,,,,,,,,,,,,,,,,,,,,317,,,,,,,,,,,,,,,,,,,,435,,,,,,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,331,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,313,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,
9/17/2023,A SU MESA SAS,Antioquia,Medellín,Medellín,Estatales,10,Cliente 2,13,,,,,128,,,,,,,,,,,,,,347,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,533,,,,,,,,,,,,,,,302,,,,,,,,,,,,,,464,,,,,,,,,,,,,,331,,,,,,,,,,,,,,455,,,,,,,,,,,,,,483,,,,,,,,,,,,,,,1046,,,,,,,,,,,,,,73,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,1407,,,,,,,,,,
6/23/2023,ACABADOS PISOS Y CONSTRUCCION S A S,Valle del Cauca,Cali,Cali,Servicios financieros,5,Cliente 3,8,,,,191,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,568,,,,,,,,,,,,,,,,,,,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,,,,,,,,,,,,,314,,,,,,,,,,,,,,,,,,,,,,,1412,,,,,,,,,,,,,,,,,,,
7/4/2023,ACCESSPARK SAS,"Bogotá, Distrito Capital",Bogotá,Funza,Estatales,5,Cliente 4,8,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,519,,,,,,,,,,,,,,,,,,,,,,,,722,,,,,,,,,,,,,,,,,,,,,,,,497,,,,,,,,,,,,,,,,,,,,,,,,322,,,,,,,,,,,,,,,,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,
3/11/2023,ADAIN ENRIQUE ORTIZ ZARATE,Santander,Bucaramanga,Bucaramanga,Industria manufacturera,5,Cliente 5,8,,,,,,,,,,,,,,289,,,,,,,,,,,,,,,,,,,,,,,1035,,,,,,,,,,,,,,,,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,759,,,,,,,,,,,,,,,,,,,,,,,,307,,,,,,,,,,,,,,,,,,,,,,,782,,,,,,,,,,,,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,1069,,,,,,,,,
7/26/2023,ADELA DELGADO FAJARDO,"Bogotá, Distrito Capital",Bogotá,Engativá,Turismo y hostelería,7,Cliente 6,10,,,,,,,85,,,,,,,,,,,,,,,,,,,315,,,,,,,,,,,,,,,,,,,442,,,,,,,,,,,,,,,,,,,284,,,,,,,,,,,,,,,,,,,313,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,525,,,,,,,,,,,,,,,,,,579,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,730,,,,,,,,,,,,
4/28/2023,ADRIANA CRISTINA BONILLA CHIPATECUA,"Bogotá, Distrito Capital",Bogotá,Usme,Investigación médica y tecnologías en salud,10,Cliente 7,13,,,,,,,,,598,,,,,,,,,,,,,,1018,,,,,,,,,,,,,,,175,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,732,,,,,,,,,,,,,,318,,,,,,,,,,,,,,212,,,,,,,,,,,,,,328,,,,,,,,,,,,,,326,,,,,,,,,,,,,,,561,,,,,,,,,,,,,,414,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,409,,,,,,
1/12/2023,AGUEDITA NIÑO CEDIEL,Antioquia,Medellín,Medellín,Ganadería,2,Cliente 8,5,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,
11/23/2023,AIRE Y ENERGIA LIMITADA,"Bogotá, Distrito Capital",Bogotá,Puente Aranda,Construcción,11,Cliente 9,14,,,,,,,,,,,,,233,,,,,,,,,,,,,324,,,,,,,,,,,,,,280,,,,,,,,,,,,,1008,,,,,,,,,,,,,296,,,,,,,,,,,,,,301,,,,,,,,,,,,,589,,,,,,,,,,,,,,291,,,,,,,,,,,,,490,,,,,,,,,,,,,767,,,,,,,,,,,,,76,,,,,,,,,,,,,89,,,,,,,,,,,,,214,,,,,,,,,,,,,,,305
1/23/2023,ALEIDA MARIA ARCILA MONTOYA,Magdalena,Santa Marta,Santa Marta,"Cultura, ocio y entretenimiento",6,Cliente 10,9,,,,190,,,,,,,,,,,,,,,,,,,,1505,,,,,,,,,,,,,,,,,,,,742,,,,,,,,,,,,,,,,,,,,,207,,,,,,,,,,,,,,,,,,,,,,1518,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,2049,,,,,,,,,,,,,,,,,,
